201029 , "Undisclosed Desires" , "Muse" , 3:55 , 5 , 48 , "Vienna" , "Austria"
201029 , "Bad Romance" , "Lady Gaga" , 4:55 , 6 , 46 , "Vienna" , "Austria"
201029 , "Sex On Fire" , "Kings of Leon" , 3:25 , 7 , 45 , "Vienna" , "Austria"
201029 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 8 , 44 , "Vienna" , "Austria"
201029 , "Supermassive Black Hole" , "Muse" , 3:30 , 9 , 43 , "Vienna" , "Austria"
201029 , "Time To Pretend" , "MGMT" , 4:22 , 10 , 43 , "Vienna" , "Austria"
201029 , "Uprising" , "Muse" , 3:35 , 11 , 42 , "Vienna" , "Austria"
201029 , "Islands" , "The xx" , 2:41 , 12 , 42 , "Vienna" , "Austria"
201029 , "Lisztomania" , "Phoenix" , 4:00 , 13 , 40 , "Vienna" , "Austria"
201029 , "VCR" , "The xx" , 2:56 , 14 , 39 , "Vienna" , "Austria"
201029 , "Watercolour" , "Pendulum" , 3:30 , 15 , 39 , "Vienna" , "Austria"
201029 , "The Suburbs" , "Arcade Fire" , 5:14 , 16 , 39 , "Vienna" , "Austria"
201029 , "Go Do" , "Jónsi" , 4:39 , 17 , 39 , "Vienna" , "Austria"
201029 , "Heart Skipped a Beat" , "The xx" , 4:02 , 18 , 38 , "Vienna" , "Austria"
201029 , "Not Afraid" , "Eminem" , 4:08 , 19 , 38 , "Vienna" , "Austria"
201029 , "Shelter" , "The xx" , 4:30 , 20 , 37 , "Vienna" , "Austria"
201029 , "Surrender" , "Billy Talent" , 3:59 , 1 , 6 , "Salzburg" , "Austria"
201029 , "This Suffering" , "Billy Talent" , 3:57 , 2 , 5 , "Salzburg" , "Austria"
201029 , "Sweet Child O' Mine" , "Guns N' Roses" , 5:56 , 3 , 4 , "Salzburg" , "Austria"
201029 , "Uprising" , "Muse" , 3:35 , 4 , 4 , "Salzburg" , "Austria"
201029 , "Starlight" , "Muse" , 4:00 , 5 , 4 , "Salzburg" , "Austria"
201029 , "Animal" , "Miike Snow" , 4:22 , 6 , 4 , "Salzburg" , "Austria"
201029 , "Leaving Jesusland" , "NOFX" , 2:53 , 7 , 4 , "Salzburg" , "Austria"
201029 , "The Pretender" , "Foo Fighters" , 4:28 , 8 , 4 , "Salzburg" , "Austria"
201029 , "Odessa" , "Caribou" , 5:16 , 9 , 4 , "Salzburg" , "Austria"
201029 , "The Pot" , "Tool" , 6:22 , 10 , 4 , "Salzburg" , "Austria"
201029 , "Moving To New York" , "The Wombats" , 3:30 , 11 , 4 , "Salzburg" , "Austria"
201029 , "Stairway To Heaven" , "Led Zeppelin" , 8:00 , 12 , 4 , "Salzburg" , "Austria"
201029 , "Vicarious" , "Tool" , 7:06 , 13 , 4 , "Salzburg" , "Austria"
201029 , "Found Out" , "Caribou" , 3:19 , 14 , 4 , "Salzburg" , "Austria"
201029 , "Resistance" , "Muse" , 5:45 , 15 , 4 , "Salzburg" , "Austria"
201029 , "Undisclosed Desires" , "Muse" , 3:55 , 16 , 4 , "Salzburg" , "Austria"
201029 , "Ohne dich" , "Rammstein" , 4:30 , 17 , 4 , "Salzburg" , "Austria"
201029 , "Believe" , "The Bravery" , 3:46 , 18 , 4 , "Salzburg" , "Austria"
201029 , "Feel Good Inc." , "Gorillaz" , 3:41 , 19 , 4 , "Salzburg" , "Austria"
201029 , "Not Afraid" , "Eminem" , 4:08 , 20 , 4 , "Salzburg" , "Austria"
201029 , "Crystalised" , "The xx" , 3:22 , 1 , 7 , "Innsbruck" , "Austria"
201029 , "Intro" , "The xx" , 2:05 , 2 , 7 , "Innsbruck" , "Austria"
