201144 , "M.M.I.X." , "Coldplay" , 0:48 , 17 , 49 , "Vienna" , "Austria"
201144 , "Young Blood" , "The Naked and Famous" , 4:07 , 18 , 46 , "Vienna" , "Austria"
201144 , "Skinny Love" , "Bon Iver" , 3:57 , 19 , 46 , "Vienna" , "Austria"
201144 , "Up in Flames" , "Coldplay" , 3:13 , 20 , 46 , "Vienna" , "Austria"
201144 , "Cosmic Love" , "Florence and The Machine" , 4:00 , 1 , 4 , "Salzburg" , "Austria"
201144 , "Enter Sandman" , "Metallica" , 5:30 , 2 , 4 , "Salzburg" , "Austria"
201144 , "Wonderwall" , "Oasis" , 4:18 , 3 , 4 , "Salzburg" , "Austria"
201144 , "Born To Be Wild" , "Steppenwolf" , 3:27 , 4 , 3 , "Salzburg" , "Austria"
201144 , "Fix You" , "Coldplay" , 4:57 , 5 , 3 , "Salzburg" , "Austria"
201144 , "Someone Like You" , "Adele" , 4:44 , 6 , 3 , "Salzburg" , "Austria"
201144 , "Banana Pancakes" , "Jack Johnson" , 3:11 , 7 , 3 , "Salzburg" , "Austria"
201144 , "Firestarter" , "The Prodigy" , 3:45 , 8 , 3 , "Salzburg" , "Austria"
201144 , "Engel" , "Rammstein" , 4:26 , 9 , 3 , "Salzburg" , "Austria"
201144 , "Better Together" , "Jack Johnson" , 4:24 , 10 , 3 , "Salzburg" , "Austria"
201144 , "Paparazzi" , "Lady Gaga" , 3:29 , 11 , 3 , "Salzburg" , "Austria"
201144 , "Running Up That Hill (A Deal With God)" , "Kate Bush" , 5:02 , 12 , 3 , "Salzburg" , "Austria"
201144 , "Never Know" , "Jack Johnson" , 3:32 , 13 , 3 , "Salzburg" , "Austria"
201144 , "Lonely Day" , "System of a Down" , 2:47 , 14 , 3 , "Salzburg" , "Austria"
201144 , "Ich will" , "Rammstein" , 3:38 , 15 , 3 , "Salzburg" , "Austria"
201144 , "Everything's Not Lost" , "Coldplay" , 5:30 , 16 , 3 , "Salzburg" , "Austria"
201144 , "Midnight City" , "M83" , 4:04 , 17 , 3 , "Salzburg" , "Austria"
201144 , "Sitting, Waiting, Wishing" , "Jack Johnson" , 3:11 , 18 , 3 , "Salzburg" , "Austria"
201144 , "Clocks" , "Coldplay" , 4:10 , 19 , 3 , "Salzburg" , "Austria"
201144 , "Hey Joe" , "Jimi Hendrix" , 5:52 , 20 , 3 , "Salzburg" , "Austria"
201144 , "The Cave" , "Mumford &amp; Sons" , 4:00 , 1 , 6 , "Innsbruck" , "Austria"
201144 , "White Blank Page" , "Mumford &amp; Sons" , 4:13 , 2 , 5 , "Innsbruck" , "Austria"
201144 , "Timshel" , "Mumford &amp; Sons" , 3:22 , 3 , 5 , "Innsbruck" , "Austria"
201144 , "Always Where I Need To Be" , "The Kooks" , 2:40 , 4 , 5 , "Innsbruck" , "Austria"
