201036 , "Half Light II (No Celebration)" , "Arcade Fire" , 4:25 , 12 , 9 , "Liège" , "Belgium"
201036 , "Month of May" , "Arcade Fire" , 3:59 , 13 , 8 , "Liège" , "Belgium"
201036 , "Crystalised" , "The xx" , 3:22 , 14 , 8 , "Liège" , "Belgium"
201036 , "Wasted Hours" , "Arcade Fire" , 3:19 , 15 , 8 , "Liège" , "Belgium"
201036 , "Spectacular Girl" , "Eels" , 3:13 , 16 , 8 , "Liège" , "Belgium"
201036 , "Sprawl (Flatland)" , "Arcade Fire" , 2:54 , 17 , 7 , "Liège" , "Belgium"
201036 , "Smells Like Teen Spirit" , "Nirvana" , 5:02 , 18 , 7 , "Liège" , "Belgium"
201036 , "Islands" , "The xx" , 2:41 , 19 , 7 , "Liège" , "Belgium"
201036 , "Lights" , "Interpol" , 5:36 , 20 , 7 , "Liège" , "Belgium"
201036 , "We Used to Wait" , "Arcade Fire" , 5:01 , 1 , 73 , "Brussels" , "Belgium"
201036 , "The Suburbs" , "Arcade Fire" , 5:14 , 2 , 73 , "Brussels" , "Belgium"
201036 , "Ready To Start" , "Arcade Fire" , 4:14 , 3 , 72 , "Brussels" , "Belgium"
201036 , "Modern Man" , "Arcade Fire" , 4:40 , 4 , 63 , "Brussels" , "Belgium"
201036 , "Rococo" , "Arcade Fire" , 3:57 , 5 , 61 , "Brussels" , "Belgium"
201036 , "City With No Children" , "Arcade Fire" , 3:12 , 6 , 60 , "Brussels" , "Belgium"
201036 , "Empty Room" , "Arcade Fire" , 2:51 , 7 , 60 , "Brussels" , "Belgium"
201036 , "Half Light II (No Celebration)" , "Arcade Fire" , 4:25 , 8 , 57 , "Brussels" , "Belgium"
201036 , "Half Light I" , "Arcade Fire" , 4:14 , 9 , 55 , "Brussels" , "Belgium"
201036 , "Suburban War" , "Arcade Fire" , 4:40 , 10 , 54 , "Brussels" , "Belgium"
201036 , "Wasted Hours" , "Arcade Fire" , 3:19 , 11 , 53 , "Brussels" , "Belgium"
201036 , "Month of May" , "Arcade Fire" , 3:59 , 12 , 52 , "Brussels" , "Belgium"
201036 , "Deep Blue" , "Arcade Fire" , 4:27 , 13 , 51 , "Brussels" , "Belgium"
201036 , "Sprawl II (Mountains Beyond Mountains)" , "Arcade Fire" , 5:17 , 14 , 48 , "Brussels" , "Belgium"
201036 , "Islands" , "The xx" , 2:41 , 15 , 45 , "Brussels" , "Belgium"
201036 , "The Suburbs (Continued)" , "Arcade Fire" , 1:26 , 16 , 43 , "Brussels" , "Belgium"
201036 , "Envoi" , "Absynthe Minded" , 4:07 , 17 , 42 , "Brussels" , "Belgium"
201036 , "Sex On Fire" , "Kings of Leon" , 3:25 , 18 , 39 , "Brussels" , "Belgium"
201036 , "Crystalised" , "The xx" , 3:22 , 19 , 37 , "Brussels" , "Belgium"
201036 , "Bloodbuzz Ohio" , "The National" , 4:10 , 20 , 36 , "Brussels" , "Belgium"
201036 , "Rococo" , "Arcade Fire" , 3:57 , 1 , 20 , "Antwerp" , "Belgium"
201036 , "Modern Man" , "Arcade Fire" , 4:40 , 2 , 19 , "Antwerp" , "Belgium"
201036 , "Empty Room" , "Arcade Fire" , 2:51 , 3 , 17 , "Antwerp" , "Belgium"
201036 , "The Suburbs" , "Arcade Fire" , 5:14 , 4 , 17 , "Antwerp" , "Belgium"
201036 , "Islands" , "The xx" , 2:41 , 5 , 17 , "Antwerp" , "Belgium"
201036 , "Ready To Start" , "Arcade Fire" , 4:14 , 6 , 17 , "Antwerp" , "Belgium"
201036 , "City With No Children" , "Arcade Fire" , 3:12 , 7 , 16 , "Antwerp" , "Belgium"
201036 , "We Used to Wait" , "Arcade Fire" , 5:01 , 8 , 16 , "Antwerp" , "Belgium"
201036 , "Half Light I" , "Arcade Fire" , 4:14 , 9 , 16 , "Antwerp" , "Belgium"
201036 , "Sprawl II (Mountains Beyond Mountains)" , "Arcade Fire" , 5:17 , 10 , 15 , "Antwerp" , "Belgium"
201036 , "Suburban War" , "Arcade Fire" , 4:40 , 11 , 15 , "Antwerp" , "Belgium"
201036 , "Half Light II (No Celebration)" , "Arcade Fire" , 4:25 , 12 , 15 , "Antwerp" , "Belgium"
201036 , "The Cave" , "Mumford &amp; Sons" , 4:00 , 13 , 14 , "Antwerp" , "Belgium"
201036 , "The Suburbs (Continued)" , "Arcade Fire" , 1:26 , 14 , 12 , "Antwerp" , "Belgium"
201036 , "Envoi" , "Absynthe Minded" , 4:07 , 15 , 12 , "Antwerp" , "Belgium"
201036 , "Month of May" , "Arcade Fire" , 3:59 , 16 , 12 , "Antwerp" , "Belgium"
201036 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 17 , 12 , "Antwerp" , "Belgium"
201036 , "Wasted Hours" , "Arcade Fire" , 3:19 , 18 , 12 , "Antwerp" , "Belgium"
201036 , "Deep Blue" , "Arcade Fire" , 4:27 , 19 , 11 , "Antwerp" , "Belgium"
201036 , "Alejandro" , "Lady Gaga" , 4:33 , 20 , 11 , "Antwerp" , "Belgium"
201036 , "Better Than Love" , "Hurts" , 3:33 , 1 , 4 , "Charleroi" , "Belgium"
201036 , "Use Somebody" , "Kings of Leon" , 3:50 , 2 , 4 , "Charleroi" , "Belgium"
201036 , "Icon" , "Daan" , 2:52 , 3 , 4 , "Charleroi" , "Belgium"
201036 , "Wonderful Life" , "Hurts" , 4:13 , 4 , 4 , "Charleroi" , "Belgium"
201036 , "Society" , "Eddie Vedder" , 3:56 , 5 , 4 , "Charleroi" , "Belgium"
201036 , "Poker Face" , "Lady Gaga" , 3:56 , 6 , 3 , "Charleroi" , "Belgium"
201036 , "9 Crimes" , "Damien Rice" , 3:44 , 7 , 3 , "Charleroi" , "Belgium"
201036 , "There Is A Light That Never Goes Out" , "The Smiths" , 4:02 , 8 , 3 , "Charleroi" , "Belgium"
201036 , "Born in the Eighties" , "Milow" , 4:21 , 9 , 3 , "Charleroi" , "Belgium"
201036 , "No Ceiling" , "Eddie Vedder" , 1:33 , 10 , 3 , "Charleroi" , "Belgium"
201036 , "Excuses" , "The Morning Benders" , 5:06 , 11 , 3 , "Charleroi" , "Belgium"
201036 , "Heads Will Roll (A-Trak Remix)" , "Yeah Yeah Yeahs" , 5:03 , 12 , 3 , "Charleroi" , "Belgium"
201036 , "Flux" , "Bloc Party" , 3:35 , 13 , 3 , "Charleroi" , "Belgium"
201036 , "Oh Boy" , "Cam'Ron" , 3:28 , 14 , 2 , "Charleroi" , "Belgium"
201036 , "What If" , "Bombay Bicycle Club" , 4:10 , 15 , 2 , "Charleroi" , "Belgium"
201036 , "Horse and I" , "Bat for Lashes" , 3:04 , 16 , 2 , "Charleroi" , "Belgium"
201036 , "Still Ill" , "The Smiths" , 3:19 , 17 , 2 , "Charleroi" , "Belgium"
201036 , "Alibi" , "30 Seconds to Mars" , 6:02 , 18 , 2 , "Charleroi" , "Belgium"
